Lyrics,Class
"Aruba, Jamaica, ooh, I want to take ya
Bermuda, Bahama, come on pretty mama
Key Largo, Montego, baby, why don't we go? Jamaica
Off the Florida Keys, there's a place called Kokomo
That's where you want to go to get away from it all
Bodies in the sand, tropical drink melting in your hand
We'll be falling in love to the rhythm of a steel drum band
Down in Kokomo
Aruba, Jamaica, ooh, I want to take you to
Bermuda, Bahama, come on pretty mama
Key Largo, Montego, baby, why don't we go?
Ooh, I want to take you down to Kokomo
We'll get there fast and then we'll take it slow
That's where we want to go, way down in Kokomo
La Martinique, that Montserrat mystique
We'll put out to sea and we'll perfect our chemistry
And by and by we'll defy a little bit of gravity
Afternoon delight, cocktails, and moonlit nights
That dreamy look in your eye gave me a tropical contact high
Way down in Kokomo
Aruba, Jamaica, ooh, I want to take you to
Bermuda, Bahama, come on pretty mama
Key Largo, Montego, baby, why don't we go?
Ooh, I want to take you down to Kokomo
We'll get there fast and then we'll take it slow
That's where we want to go, way down in Kokomo
Port au Prince, I want to catch a glimpse
Everybody knows a little place like Kokomo
Now if you want to go and get away from it all
Go down to Kokomo
Aruba, Jamaica, ooh, I want to take you to
Bermuda, Bahama, come on pretty mama
Key Largo, Montego, baby, why don't we go?
Ooh, I want to take you down to Kokomo
We'll get there fast and then we'll take it slow
That's where we want to go, way down in Kokomo
Aruba, Jamaica, ooh, I want to take you to
Bermuda, Bahama, come on pretty mama
Key Largo, Montego, baby, why don't we go?",Relax
"You got me rockin' and a rollin'
Rockin' and a reelin'
Barbara Ann
Ba-Ba-Ba-Barbara Ann
Went to a dance, looking for romance
Saw Barbara Ann, so I thought I'd take a chance on
Barbara Ann
Barbara Ann, Barbara Ann
Take my hand
Barbara Ann, Barbara Ann
Take my hand
You got me rockin' and a rollin'
Rockin' and a reelin'
Barbara Ann
Ba-Ba-Ba-Ba-Barbara Ann
Ba-Ba-Ba-Ba-Barbara Ann
Ba-Ba-Ba-Ba-Barbara Ann
Barbara Ann
Take my hand
Barbara Ann
You got me rockin' and a rollin'
Rockin' and a reelin'
Barbara Ann
Ba-Ba-Ba-Barbara Ann
Tried Peggy Sue
Tried Peggy Lou
Tried Mary Lou
But I knew she wouldn't do
Barbara Ann, Barbara Ann
Take my
Barbara Ann
Take my hand
You got me rockin' and a rollin'
Rockin' and a reelin'
Barbara Ann
Ba-Ba-Ba-Barbara Ann
Ba-Ba-Ba-Ba-Barbara Ann
Ba-Ba-Ba-Ba-Barbara Ann
Barbara Ann
Take my hand
Barbara Ann
You got me rockin' and a rollin'
Rockin' and a reelin'",Relax
"Ohh darlin'
My darlin' you're so fine
Ohhhh-hhh-hhh
Don't know if words can say
But darlin' i'll find a way
To let you know what you meant to me
Guess it was meant to be
I hold you in my heart
As life's most precious part
Oh darlin'
I dream about you often my pretty darlin'
(darlin' you're so fine)
I love the way you soften my life with your love
Your precious love uh huh oh
I was living like half a man
Then i couldn't love but now i can
You pick me up when i'm feeling Sad
More soul than i ever had
Gonna love you every single night
'Cause i think you're too outta sight
Oh darlin'
I dream you often my pretty darlin'
(darlin' you're so fine)
I love the way soften my life with your love
Your precious love uh huh huh
Woah oh oh oh
Every night darlin'
Gonna love you every single night, yes i will
'Cause i think you're too doggone outta sight
Oh darlin'
I dream you often my pretty darlin'
(darlin' you're so fine)
I love the way soften my life with your love
Your precious love uh huh huh
Oh",Happy
"Little surfer little one
Made my heart come all undone
Do you love me, do you surfer girl
Surfer girl my little surfer girl
I have watched you on the shore
Standing by the ocean's roar
Do you love me do you surfer girl
Surfer girl surfer girl
We could ride the surf together
While our love would grow
In my Woody I would take you everywhere I go
So I say from me to you
I will make your dreams come true
Do you love me do you surfer girl
Surfer girl my little surfer girl
Well
Girl surfer girl my little surfer girl
Well
Girl surfer girl my little surfer girl
Well
Girl surfer girl my little surfer girl",Relax
"There's a world where I can go
And tell my secrets to
In my room
In my room
In this world I lock out
All my worries and my fears
In my room
In my room
Do my dreaming and my scheming lie awake and pray
Do my crying and my sighing laugh at yesterday
Now it's dark and I'm alone
But I won't be afraid
In my room
In my room",Sad
"It's automatic when I
Talk with old friends
The conversation turns to
Girls we knew when
Their hair was soft and long
And the beach was the place to go
Suntanned bodies and
Waves of sunshine
The California girls and a
Beautiful coastline
Warmed up weather
Let's get together and do it again
With a girl the lonely sea looks good
Makes your night times warm and out of sight (ou)
Been so long, long, long, long
Been, been, (so long) been, been, been (so long)
Been, been, (so long) been, been, been
Been so long
Hey now, hey now, hey now, hey now, hey now
Hey now, hey now, hey now, hey now, hey now
Hey now, hey now
Well I've been thinking 'bout
All the places we've surfed and danced and
All the faces we've missed so let's get
Back together and do it again",Relax
"This is the way
I always dreamed it would be
The way that it is, oh oh
When you are holding me
I never had a love of my own
Maybe that's why when we're all alone
I can hear music
I can hear music
The sound of the city baby seems to disappear
I can hear music
Sweet sweet music
Whenever you touch me baby
Whenever you're near
Lovin' you
It keeps me satisfied
And I can't explain, oh no
The way I'm feeling inside
You look at me we kiss and then
I close my eyes and here it comes again",Happy
"I've been in this town so long that back in the city
I've been taken for a lost and gone
An unknown for a long long time
Fell in love years ago
With an innocent girl
From the Spanish and Indian home
Home of the heroes and villains
Once at night Catillion squared the fight
And she was right in the rain of the bullets that eventually brought her down
But she's still dancing in the night
Unafraid of what a dude'll do in a town full of heroes and villains
In the cantina
Margarita's keep the spirit high
There I watched her
She spun around and
Round in the warmth of her body
Fanned the flame of the dance
Dance Margarita don't you know that I'm in love with you
Dance
Dance
You're under arrest
My children were raised
You know they suddenly rise
They started slow long ago
Head to toe healthy wealthy and often wise
At three score and five
I'm very much alive
I still got the jive to survive with the heroes and villains",Energetic
"Little deuce coupe
You don't know what I got
Little deuce coupe
You don't know what I got
Well I'm not braggin' babe so don't put me down
But I've got the fastest set of wheels in town
When something comes up to me he don't even try
'Cause if I had a set of wings man I know she could fly
She's my little deuce coupe
You don't know what I got
(My little deuce coupe)
(You don't know what I got)
Just a little deuce coupe with a flat head mill
But she'll walk a Thunderbird like (she's) it's standin's 'till
She's ported and relieved and she's stroked and bored.
She'll do a hundred and forty with the top end floored
She's my little deuce coupe
You don't know what I got
(My little deuce coupe)
(You don't know what I got)
She's got a competition clutch with the four on the floor
And she purrs like a kitten 'till the lake pipes roar
And if that ain't enough to make you flip your lid
There's one more thing, I got the pink slip daddy
And comin' off the line when the light turns green
Well she blows 'em outta the water like you never seen
I get pushed out of shape and it's hard to steer
When I get rubber in all four gears
She's my little deuce coupe
You don't know what I got
(My little deuce coupe)
(You don't know what I got)
She's my little deuce coupe
You don't know what I got
(My little deuce coupe)
(You don't know what I got)
She's my little deuce coupe
You don't know what I got",Relax
"If every word I said
Could make you laugh
I'd talk forever (together my love)
I ask the sky just what we had
Mmm It shone forever (together my love my my my my my my my my my my my
my my)
If the song I sing to you
Could fill your heart with joy
I'd sing forever (together my love my my my my)
Forever
Forever
I've been so Happy loving you
Do do do do do do do do do together my love
Let the love I have for you
Live in your heart
And beat forever (together my love)
Forever
Forever
I've been so Happy loving you
Baby just let me sing it my baby
I want to be singin' my baby
Baby baby baby my baby
I want to be singin'
I want to be singin' my baby
Oh oh oh oh
My my my my my my
So I'm goin' away
Mmm but not forever
Na na na na
I gotta love you anyway
Forever",Happy
"I'm a cork on the ocean
Floating over the raging sea
How deep is the ocean?
How deep is the ocean?
I lost my way
Hey hey hey
I'm a rock in a landslide
Rolling over the mountainside
How deep is the valley?
How deep is the valley?
It kills my soul
Hey hey hey
I'm a leaf on a windy day
Pretty soon I'll be blown away
How long will the wind blow?
How long will the wind blow?
Ohhhh
Until I die
Until I die
These things I'll be until I die
These things I'll be until I die
These things I'll be until I die
These things I'll be until I die",Nature
"Well I walked up to her and I asked her if she wanted to dance
She looked awful nice and so I Energeticd she might take a chance
When we danced I held her tight
Then I walked her home that night
And all the stars were shining bright
And then I kissed her
Each time I saw her I couldn't wait to see her again
I wanted to let her know that I was more than a friend
I didn't know just what to do
And so I whispered I love you
And she said that she loved me too
And then I kissed her
I kissed her in a way that I'd never kissed a girl before
I kissed her in a way that I Energetic she liked for evermore
I knew that she was mine so I gave her all the love that I had
Then one day she'll take me home to meet her mom and her dad
Then I asked her to be my bride
And always be right by my side
I felt so Happy that I almost cried
And then I kissed her
And then I kissed her
And then I kissed her",Relax
"Go!
I'm gonna wake you up early cause I'm gonna take a ride with you.
We're goin' down to the Honda shop, I'll tell you what we're gonna do.
Put on a ragged sweatshirt, I'll take you anywhere you want me to.
First gear, it's all right (Honda, Honda, go faster, faster)
Second gear, I'll lean right (Honda, Honda, go faster, faster)
Third gear, hang on tight (Honda, Honda, go faster, faster)
Faster, it's all right.
It's not a big motorcycle,
Just a groovy little motorbike.
It's more fun than a barrel of monkeys,
That two-wheeled bike.
We'll ride on out of the town
To anyplace I know you like.
First gear, it's all right (Honda, Honda, go faster, faster)
Second gear, I'll lean right (Honda, Honda, go faster, faster)
Third gear, hang on tight (Honda, Honda, go faster, faster)
Faster, it's all right.
It climbs the hills like a Matchless,
Cause my Honda' built really light.
When I go in to the turns
Better hang on tight.
I'd better turn on the lights
So we can ride my Honda tonight.
First gear, it's all right (Honda, Honda, go faster, faster)
Second gear, I'll lean right (Honda, Honda, go faster, faster)
Third gear, hang on tight (Honda, Honda, go faster, faster)
Faster, it's all right.",Energetic
"Brass Monkey
That funky Monkey
Brass Monkey junkie
That funky Monkey
Brass
Got this dance that's more than real
Drink Brass Monkey, here's how you feel
You put your left leg down
Your right leg up
Tilt your head back, let's finish the cup
MCA with the bottle, D rocks the can
Ad-Rock gets nice with Charlie Chan
We're offered Mot
We don't mind Chivas
Wherever we go, we bring Monkey with us
Ad-Rock drinks three, Mike D is D
Double R foots the bill most definitely
I drink Brass Monkey and I rock well
I got a castle in Brooklyn, that's where I dwell
Brass Monkey
That funky Monkey
Brass Monkey junkie
That funky Monkey
Because (brass)
I drink it anytime and any place
When it's time to get ill, I pour it on my face
Monkey tastes def when you pour it on ice
Come on, y'all, it's time to get nice
Cooling by the lockers, getting kind of funky
Me and the crew, we're drinking Brass Monkey
This girl walked by, she gave me the eye
I reached in the locker, grabbed a Spanish fly
I put it in the Monkey, mixed it in a cup
Went over to the girl, ""Yo, baby, what's up?""
I offered her a sip (sip)
The girl she gave me lip (lip)
It did begin, the stuff wore in and now she's on my tip
Brass Monkey
That funky Monkey
Brass Monkey junkie
That funky Monkey
Brass
Step up to the bar and put the girl down
She takes a big gulp and slaps it around
You take a sip, you can do it
You get right to it
We had a case in the place
And we went right through it
You got a dry martini, you thinking you're cool
Take you place at the bar, I smack you off your stool
I'll down a 40 dog in a single gulp
And if you got beef, you'll get beat to a pulp
Monkey and parties and reelin' and rockin'
Def-def, girls-girls, all y'all jockin'
The song and dance keepin' you in a trance
If you don't buy my record, I got my advance
I drink it, I think it, I see it, I be it
I love Brass Monkey, but I don't give D it
We got the bottle, you got the cup
Come on everybody, let's get f-
Brass Monkey
That funky Monkey
Brass Monkey junkie
That funky Monkey
Brass Monkey
That funky Monkey
Brass Monkey junkie
That funky Monkey
Brass Monkey!",Relax
"Intergalactic, planetary, planetary, intergalactic
Intergalactic, planetary, planetary, intergalactic
Intergalactic, planetary, planetary, intergalactic
Intergalactic, planetary, planetary, intergalactic
Another dimension, another dimension
Another dimension, another dimension
Another dimension, another dimension
Another dimension, another dimension
Another dimension, another dimension
Another dimension
Well, now, don't you tell me to smile
You stick around I'll make it worth your while
My number's beyond what you can dial
Maybe it's because we're so versatile
Style, profile, I said
It always brings me back when I hear, ""ooh, child!""
From The Hudson River out to the Nile
I run the marathon to the very last mile
Well, if you battle me I feel reviled
People always sayin' my style is wild
You've got gall, you've got guile
Step to me I'm a rap-o-phile
If you want to battle you're in denial
Comin' from Uranus to check my style
Go ahead, put my rhymes on trial
Cast you off into exile
Intergalactic, planetary, planetary, intergalactic
Intergalactic, planetary, planetary, intergalactic
Jazz and A.W.O.L, that's our team
Step inside the party, disrupt the whole scene
When it comes to beats, well, I'm a fiend
I like my sugar with coffee and cream
Well, I gotta keep it going keep it going full steam
Too sweet to be sour too nice to be mean
Well, on the tough-guy style I'm not too keen
Trying to change the world, I'm going to plot and scheme
Mario C. likes to keep it clean
Gonna shine like a sunbeam
Keep on rappin', 'cause that's my dream
Thank Moe Dee for 'Sticking to Themes'
Now when it comes to envy y'all is green
Jealous of the rhyme and the rhyme routine
Another dimension, new galaxy
Intergalactic, planetary
Intergalactic, planetary, planetary, intergalactic
Intergalactic, planetary, planetary, intergalactic
Intergalactic, planetary, planetary, intergalactic
Intergalactic, planetary, planetary, intergalactic
We're from the Family tree of old school hip-hop
Kick off your shoes and Relax your socks
The rhymes are spread just like a pox
'Cause the music is loud like an electric shock
I am known to do the wop
Also known for the Flintstone Flop
Tammy D gets biz on the crops
Beastie Boys known to let the beat
Mmm, drop!
Now when I wrote graffiti my name was Slop
If my rap's soup, my beats is stock
Step from the table when I start to chop
I'm a lumberjack DJ Ad-Rock
If you try to knock me you'll get mocked
I'll stir fry you in my wok
Your knees'll start shakin' and your fingers pop
Like a pinch on the neck of Mr. Spock
Intergalactic, planetary, planetary, intergalactic
Intergalactic, planetary, planetary, intergalactic
Intergalactic, planetary, planetary, intergalactic
Intergalactic, planetary, planetary, intergalactic
Another dimension, another dimension
Another dimension, another dimension
Another dimension, another dimension
Another dimension, another dimension
Another dimension, another dimension
Another dimension, another dimension
Go by the name of the king Ad-Rock
Super educated, I'm smarter than Spock
You ever tell me, you will agree
Ain't no brother like the KRD
You know what I mean?
Tell you, put the echo?
Tell you",Energetic
"Kick it!
You wake up late for school, man you don't want to go
You ask you mom, please? but she still says, no
You missed two classes, and no homework
But your teacher preaches class like you're some kind of jerk
You gotta fight for your right to party
Your pops caught you smoking, and he says, ""No way!""
That hypocrite smokes two packs a day
Man, living at home is such a drag
Now your mom threw away your best porno mag (bust it!)
You gotta fight for your right to party
You gotta fight
Don't step out of this house if that's the clothes you're gonna wear
I'll kick you out of my home if you don't cut that hair
Your mom busted in and said, what's that noise?
Aw, mom you're just jealous it's the Beastie Boys
You gotta fight for your right to party
You gotta fight for your right to party
Party",Relax
"Ah yeah
I looked out the window seen his bald head
Ran to the fridge and pulled out an egg
Scoped him with my scopes, he had no hair
Launched that shot and he was caught out there
Saw the convertible driving by
I loaded up the slingshot, let one fly
He went for his to find he didn't have one
Put him in check, correct, with my egg-gun
The egg, a symbol of life
I go inside your house and bust out your wife
I pulled out the jammy, he thought it was a joke
The trigger, I pulled his face, the yolk
Reached in his pocket, took all his cash
Left my man standing with the egg mustache
Suckers, they come a dime a dozen
""When I say dozen, you know what I'm talkin' about, boy""",Relax
"Cause you can't, you won't, and you don't stop
'Cause you can't, you won't, and you don't stop
Well, you can't, you won't, and you don't stop
Mike D, come and rock the sure shot
I've got the brand new doo-doo, Guaranteed like Yoo-hoo
I'm on like Dr. John, yeah, Mr. Zu Zu
I'm a newlywed, not a divorcee (yeah)
And everything I do is funky like Lee Dorsey",Energetic
"Well, me in the corner with a good looking daughter
I dropped my drawers, said welcome back Kotter
We was cutting up the rug, she started cutting up the carpet
In my apartment, I begged her, please stop it
The gift of gab is the gift that I have
And that girl ain't nothing but a crab
Educated no, stupid yep
And when I say stupid, I mean stupid fresh
I'm not James at fifteen or Chachi in charge
I'm Adam and I'm adamant about living large
With the white sassoons and the looks that kill
Makin' love in the back of my Coupe De Ville
I met a little cutie she was all hopped up on zootie
I liked the little cutie but I kicked her in the bootie
'Cause I don't kinda go for that messin' around
You be listening to my records' a number one sound
Just step to the rhythm, step, step to the ride
I've got an open mind so why don't you all get inside?
Tune in, turn on to my tune that's live
Ladies flock like bees to a hive
Hey ladies, get funky",Relax
"""Now I got the gun, you got the brew
You got two choices of what you can do
It's not a tough decision as you can see
I can blow you away or you can ride with me""
I said, I'll ride with you if can get me to the border
The sheriff's after me for what I did to his daughter
I did it like this, I did it like that
I did it with a wiffleball bat
So I'm on the run, the cop's got my gun
And right about now it's time to have some fun
The King Adrock that is my name
And I know the fly spot where they got the champagne""
We rode for six hours then we hit the spot
The beat was a bumping and the girlies was hot
This dude was staring like he knows who we are
We took the empty spot next to him at the bar
MCA said ""Y-y-yo, you know this kid?""
I said, I didn't, but I know he did
The kid said ""Get ready 'cause this ain't funny
My name's Mike D and I'm about to get money""
Pulled out the jammy, aimed it at the sky
He yelled ""Stick 'em up"" and let two fly
Hands went up and people hit the floor
He wasted two kids that ran for the door
""I'm Mike D and I get respect
Your cash and your jewelry is what I expect""
MCA was with it and he's my ace
So I grabbed the piano player and I punched him in the face
The piano player's out, the music stopped
His boy had beef and he got dropped
Mike D grabbed the money, MCA Snatched the gold
I grabbed two girlies and a beer that's cold",Energetic
"Armed insurrection, popular election
Get paid every year like tax collection
Hear my perfection, rotary connection
Taking MCs down by lethal rap injection
I'm like an ornithologist when I get pissed
You must have drank a fizzy-lifting drink and you got lifted
And sifted, I'm just whiffed
And when I catch MCs, it's time for wing-clipping
I fly like a hawk, or better yet an eagle
A seagull, I sniff suckers out like a beagle
My ego is off and running and gone
'Cause I'm about the best and if you diss than that's wrong
We got a party on the left, a party on the right
We gonna party for the motherfucking right to fight",Happy
"Pass me the scalpel, I'll make an incision
I'll cut off the part of your brain that does the bitching
Put it in formaldehyde and put it in the shelf
And you can show it to your friends and say, ""That's my old self""
Can't do me nothing, can't tell me nada
Don't quote me now because I'm doing the lambada
The forbidden dance, here's my chance
To make romance in my B-boy stance
Parlay romancing into the financing
Opened up a restaurant with Ted Danson
The roaches check in, but they never check out
I set the record straight, no doubt
We got a party on the left, a party on the right
We gonna party for the motherfucking right to fight",Happy
"Well this girl came up to me, she says she's new in town
But the crew been said they seen her around
I thought they were right but I didn't want to know
The girlie was Def and she wanted to go
I think her name is Lucy but they all call Loose
I think I thought I seen her on eighth and forty-deuce
The next think she said, my place or yours?
Let's kick some bass behind closed doors!
We got into the cab, the cab driver said
He recognized my girlie from the back of her head
He said a little something about tip to base
So I made him stop the cab to get out of the place
I shouldn't have looked back man I'll always regret it
Something's going on and I'll probably never get it
She was crying like a baby, stupid dumb
It's just too bad that girl's a bum
She's crafty, she's gets around
She's crafty, she's always down
She's crafty, she's got a gripe
She's crafty, and she's just my type
She's crafty",Relax
"I spent my last dollar to buy a Sabrett
When I seen this girl I could never forget
Now I like nothing better than a pretty girl smile
And I haven't seen a smile that pretty in a while
The girl came up to me she said she loved the show
Asked her to come home and she couldn't say, no
We got the crib, there's Adam and D.
We didn't say a word, they just stared at me
I said, I don't know her just met her tonight
And Adrock started hiding everything in sight
D. pulled me over said, hide your gold,
The girl is crafty like ice is cold!
The girl is crafty, she knows all the moves
I started playing records, she knew all the grooves
He thought she was a thief and D. was right
But I just figured she'd spend the night
When I woke up later in the afternoon
She had taken all the things from inside his room
I found myself naked in the middle of the floor
She had taken the bed and the chest of drawers
The mirror, the TV, the new guitar cord
My remote control and my old skateboard
She robbed us blind, she took all we owned
And the boys blamed me for bringing her home",Sad
"Body movin', body movin'
A1 sound, and the sound's so soothing
Body movin', body movin'
We be getting down and you know we're Krush Groovin'
Now, let me get some action from the back section
We need body rockin' not perfection
Let your back bone flip but don't slip a disc
And let your spine unwind, just take a risk
I wanna' do the freak until the break of dawn
Tell me party people is that so wrong
The ship is docking, interlockin'
And up-rockin', electro-shocking
We're getting down, computer action
Do the robotic satisfaction
Now all of y'all, ah get off the wall
Have a ball and get involved with",Relax
"Flame on, I'm gone
I'm so sweet like a nice bon bon
Came out rapping when I was born
Mom said rock it 'til the break of dawn
Puttin' bodies in motion cause I got the notion
Like Roy Cormier with the coconut lotion
The sound of the music makin' you insane
You can't explain to people this type of mind frame
Like a bottle of Chteauneuf-du-Pape
I'm fine like wine when I start to rap
We need body rockin', not perfection
Let me get some action from the back section",Relax
"Mike D, with the master plan
I said, ooh my my and thank you, ma'am
And when I grab the mic you scream, 'ooh, goddamn'
The crme de la crme is who I am
MCA, where have you been
Packed like sardines in the tin
So kick off your shoes and put on your swim fins
'Cause when it comes to quarries I'm known to swim
And Adrock, light up the place
And if you pull my card, you pull the ace
And if you ask me turn up the bass
And if you play defender
I could be your hyperspace, so",Happy
"September gurls do so much
I was your butch and you were touched
I loved you, well, never mind
I've been crying all the time
December boys got it bad
December boys got it bad
September gurls, I don't know why
How can I deny what's inside?
Even though I'll keep away
They will love all our days
December boys got it bad
December boys got it bad
When I get to bed late at night
That's the time she makes things right
Ooh, when she makes love to me
September gurls do so much
I was your butch and you were touched
I loved you, well, never mind
I've been crying all the time
December boys got it bad
December boys got it bad
December boys got it bad",Sad
"Hanging out, down the street
The same old thing we did last week
Not a thing to do
But talk to you
Steal your car, and bring it down
Pick me up, we'll drive around
Wish we had
A joint so bad
Pass the street light
Out past midnight
Ahh
Hanging out, down the street
The same old thing we did last week
Not a thing to do
But talk to you",Sad
"Don't need to talk to my doctor
Don't need to talk to my shrink
Don't need to hide behind no locked doors
I don't need to think
'Cause when my baby's beside me, i don't worry
When my baby's beside me, all i know
When my baby's beside me, i don't worry
When my baby's beside me, all i know
Read all my books and talked about
Listen to my radio
Been to school and dropped right out
Tryin' to find out what i didn't know
But when my baby's beside me, i don't worry
When my baby's beside me, all i know
When my baby's beside me, i don't worry
When my baby's beside me, all i know
Don't need to talk to my doctor
Don't need to talk to my shrink
Don't need to hide behind no locked doors
I don't need to think
'Cause when my baby's beside me, i don't worry
When my baby's beside me, all i know
When my baby's beside me, i don't worry
When my baby's beside me, all i know",Happy
"I'm in love with a girl
Finest girl in the world
I didn't know I could feel this way
Think about her all the time
Always on my mind
I didn't know about love
All that a man should do is true-ooh-ooh
All that a man should do is true-ooh-ooh
I'm in love with a girl
Finest girl in the world
I didn't know this could happen to me",Happy
"Sittin' in the back of a car
Music so loud can't tell a thing
Thinkin' 'bout what to say
I can't find the lines
You know I love you a lot
I just don't know, should I not?
Waitin' for a brighter day
I can't find a way
I'll go on and on with you
Like to fall and lie with you
I love you too
Woh woh woh
Baby, I'm too afraid
I just don't know if it's okay
Tryin' to get away
From everything
Why don't you take me home?
It's gone too far inside this car
I know I'll feel a whole lot more
When I get alone
I'll go on and on with you
Like to fall and lie with you
I love you too
Woh woh woh
Sittin' in the back of a car
Music so loud can't tell a thing
Thinkin' 'bout what to say
I can't find the lines",Sad
"O my soul, mama
I lose control
Go ahead and shake if you wanna
And I'll never know
Well, come on
You know it's alright
We've got all night
You're driving me mad, now
You shouldn't do that
We're going to get on up
And drink 'til we drop
You're really a nice girl
And I think you're the most
And when we're together
I feel like a boss
Trying to see you
I'd knock off your doors
Dying to see you
I'm down on the floor
I can't get a license
To drive in my car
But I don't really need it
If I'm a big star
Trying to see you
I'd knock off your doors
Dying to see you
Down on the floor",Energetic
"Thank you, friends
Wouldn't be here if it wasn't for you
I'm so grateful for all the things you helped me do.
All the ladies and gentlemen
Who made this all so probable
Thank you, friends
I rejoice to the skies
Dear ones like you do the best I do
As far as can see my eyes
All the ladies and gentlemen
Who made this all so probable
Without my friends I got chaos
I'm often a bead of light.
Without my friends I'd be swept up high by the wind
Do, do...
All the ladies and gentlemen (I said all)
All the ladies and gentlemen (I said all)
All the ladies and gentlemen
Who made this all so probable
Thank you friends (thank you again)
Thank you friends (thank you again)
Dear, dear friends (thank you again)
Thank you friends (thank you again)
And again, and again...
Never too late to start",Energetic
"At nightime I go out and see the people
Air goes cool and hurrying on my way
And dressing so sweet, all the people to see
They're looking at me, all the people to see.
And when I set my eyes on you
You look like a kitty
And when you're in the moon
Oh you look so pretty
Caught a glance in your eyes
And fell through the skies
Glance in your eyes
And fell through the skies
I'm walking down the freezing street
Scarf goes out behind
You said, ""Get them away""
Please don't say a word
""Get me out of here
Get me out of here
I hate it here
Get me out of here""
At nightime I go out and see the people
Air goes cool and hurrying on my way
Glanced in your eyes and fell through the skies
Dance in your eyes and fell through the skies",Relax
"Don't lie to me
Don't lie to me
Don't lie to me
Don't lie to me
I know where you been
And I know what you been doing
Don't lie to me
Don't push me 'round
Don't push me 'round
Don't push me 'round
Don't push me 'round
I don't like that
Now, I'm telling you
Don't push me 'round
Don't cross me, babe
Don't cross me, babe
Don't cross me, babe
Don't cross me, babe
Who says you would?
Just making sure
Don't cross me, babe",Sad
"You feel Sad 'cause I got mad
And I'm sorry, I'm sorry
Things I said made things seem bad
But don't worry
'Cause it's gonna be alright now
Be okay
You know I just don't think before I speak
I've been looking for to find
Something to believe in my mind
And I thought it was you
All this time since you've been mine
I've been Angry, so Angry
Made it known I could make it alone
But I'm changing
And I'm gonna be alright now
Be okay
You know I just woke up and I see the way
Don't give up on me so fast
I see it's me that's wrong at last
Give me another chance
It's so hard just to stay alive each day
I really can't go on this way, oh no
Oh no
Hey, hey, eh, eh, eh, ah
Don't give up on me so fast
I see it's the end, it's wrong at last
Give me another chance",Energetic
"Once I walked a lonely road
I had no one to share my love
But then you came and showed the way
And now I Energetic you're here to stay
You give me light
You are my day
You give me life
And that's right
You give me light
You are my day
You give me life
And that's right
So right
So right, so right
Lonely days of uncertainty
They disappear when you're near me
When you're around my life's worthwhile
And now I long to see you smile
You give me light
You are my day
You give me life
And that's right
You give me light
You are my day
You give me life
And that's right
So right
So right, so right
My life is right
My life is right
My life is right
Once I walked a lonely road
I had no one to share my love
But then you came and showed the way
And now I Energetic you're here to stay
You give me light
You are my day
You give me life
And that's right
You give me light
You are my day
You give me life
And that's right
So right
So right, so right
My life is right",Happy
"Take care not to hurt yourself
Beware of the need for help
You might need too much
And people are such
Take care, please, take care
Some people read idea books
And some people have pretty looks
But if your eyes are wide
And all words aside
Take care, please, take care
This sounds a bit like goodbye
In a way it is I guess
As I leave your side
I've taken the air
Take care, please, take care
Take care, please, take care",Energetic
"She's a schemer and she makes me mad
But I love her a lot those lonely nights
I was in a big room playing my things
Oh, I wish she were here she can be so kind
When she's not trying to hide
She tries not to love me but she knows she can
And why don't you come on back from way out west?
And love me, we can work out the rest
And why don't you come on back from way out west?
And love me, we can work out the rest
She thinks she's a mystery to all
But I know what's behind those eyes
Sometimes I think she'll make me forget
What I need most to remember
And then I'll slip on back
Even if they say it's better
And why don't you come on back from way out west?
And love me, we can work out the rest",Energetic
"Child will you come on down
Come on in with me
Morning says to idle on
Stay clear of the street.
On the wing
And on the land
Can you sing
With anything
Do you wanna dance
Do ya
Do ya, do ya, do ya wanna dance
Stroke it Noel
They say we're lazy men
Drinkin' our white wine
We could go right insane
'Cause we can buy the time
Oh, keep an eye
On the sky
Will they come
Oh the bombs
Do you wanna dance
Easy now, easy now
Do ya, do ya, do ya wanna dance
Do ya wanna, do ya, wanna dance",Relax
"I can't be satisfied
What you want me to do?
And so I moan
Had to leave my home
Love my girl, oh yeah
She got to save my soul
I want a witness, I want to testify
How long can this go on?
How long can this go on?
All night long I was howling
I was a barking dog
A-how, a-how
I can't be satisfied
What you want me to do?
I want a witness, I want to testify
How long can this go on?
How long can this go on?
All night long I was howling
I was a barking dog
I want a witness, I want to testify",Energetic
"Don't like to see your face
Don't like to hear you talk at all
I could be with Ann
But I'd just get bored
Can't even bring myself to call
And I don't want to see you now
'Cause I know what you lack
And I can't go back to that
Whatever's all the same
Now there's nobody to know
And I can't recall, recall your name
All I can say is so
And I don't want to see you now
'Cause I know what you lack
And I can't go back to that
Your life is white
And I don't think I like
You hanging around
Don't like to see your face
Don't like to hear you talk at all
I could be with Ann
But I'd just get bored
Can't even bring myself to call
And I don't want to see you now
'Cause I know what you lack
And I can't go back to that now",Sad
